longer_name	name	country_code	country_name	lat	lng
Willem II Tilburg	Willem II	NED	Netherlands	51.5419023	5.086638199999999
FC Lorient	Lorient	FRA	France	47.75016993300051	-3.3666663109995625
IFK Norrköping	Norrköping	SWE	Sweden	58.58882975400047	16.192421
Fleetwood Town FC	Fleetwood	ENG	United Kingdom	53.9167458440005	-3.0331064099995615
FC Schalke 04	Schalke	GER	Germany	51.559463	7.0622516
Athletic Bilbao	Athletic	ESP	Spain	43.268669985000486	-2.9349852
Real Madrid CF	Real Madrid	ESP	Spain	40.42492708000049	-3.678367150999577
Kasımpaşa SK	Kasımpaşa	TUR	Turkey	41.03285	28.968241264000483
Córdoba CF	Córdoba	ESP	Spain	37.8881751	-4.766667577999556
1. FC Kaiserslautern	Kaiserslautern	GER	Germany	49.44299983500048	7.771609302000456
PAOK Thessaloniki	PAOK	GRE	Greece	40.6400629	22.98016972700043
Cagliari Calcio	Cagliari	ITA	Italy	39.2132322	9.134619352000414
Blackburn Rovers FC	Blackburn	ENG	United Kingdom	53.7499996410005	-2.48332719599955
Panathinaikos FC	Panathinaikos	GRE	Greece	38.01197570000045	23.691385615000456
FC Girondins de Bordeaux	Bordeaux	FRA	France	44.84043925700047	-0.57918
Olympiacos FC	Olympiacos	GRE	Greece	39.383427000000495	23.3274646
Genoa CFC	Genoa	ITA	Italy	44.40631778000045	8.946256
US Città di Palermo	Palermo	ITA	Italy	38.11581748500049	13.3612671
Ferencvárosi TC	Ferencváros	HUN	Hungary	47.48583551000047	19.0819885
Hamilton Academical FC	Hamilton	SCO	Scotland	55.77763299999999	-4.033327152999561
Sunderland AFC	Sunderland	ENG	United Kingdom	54.913871593000465	-1.3857190399995716
St Johnstone FC	St Johnstone	SCO	Scotland	56.4074386	-3.4759498
ŠK Slovan Bratislava	Slovan Bratislava	SVK	Slovakia	48.1727265	17.141339352000443
Brighton & Hove Albion FC	Brighton	ENG	United Kingdom	50.86070549999999	-0.137163
KRC Genk	Genk	BEL	Belgium	50.96613	5.5021
FC Bayern München	Bayern	GER	Germany	48.1326687	11.499996453000449
BSC Young Boys	Young Boys	SUI	Switzerland	46.96086	7.46505
Stade Rennais FC	Rennes	FRA	France	48.11197744700047	-1.6742899889995897
Legia Warszawa	Legia	POL	Poland	52.22154827300051	21.0424143
Sporting Clube de Portugal	Sporting CP	POR	Portugal	38.76196914700046	-9.162147531999608
AS Roma	Roma	ITA	Italy	41.8971715	12.4728221
Reading FC	Reading	ENG	United Kingdom	51.4375166	-0.9158363
FC Nordsjælland	Nordsjælland	DEN	Denmark	55.81684623300049	12.3511693
FC Zürich	Zürich	SUI	Switzerland	47.37706998200048	8.541694
Wisła Kraków	Wisła	POL	Poland	50.43713890000001	23.40691878800044
LA Galaxy	LA Galaxy	USA	United States	33.862718396000446	-118.2639643
1. FC Nürnberg	Nürnberg	GER	Germany	49.45434000400047	11.07675
KKS Lech Poznań	Lech	POL	Poland	52.4031363	16.8659869
MTK Budapest	MTK	HUN	Hungary	47.5068059	19.092078248000462
FC Lokomotiv Moskva	Lokomotiv Moskva	RUS	Russian Federation	55.800076	37.739931
IFK Göteborg	Göteborg	SWE	Sweden	57.70887	11.968220093000468
Derby County FC	Derby	ENG	United Kingdom	52.92276604800048	-1.4746186
Celtic FC	Celtic	SCO	Scotland	57.478435	-4.2212204
Al-Sailiya SC	Al-Sailiya	QAT	Qatar	25.248606294000467	51.3797222
Southampton FC	Southampton	ENG	United Kingdom	50.909970039000484	-1.4042779489995496
Hull City AFC	Hull	ENG	United Kingdom	53.7456709	-0.33524931199957564
Osmanlıspor	Osmanlıspor	TUR	Turkey	41.0143	28.62652
Sandefjord Fotball	Sandefjord	NOR	Norway	59.1313095	10.21664733500046
FC Slovan Liberec	Liberec	CZE	Czech Republic	50.767106337000484	15.05618838400045
FC Luzern	Luzern	SUI	Switzerland	47.05047664200049	8.306346351000457
Szombathelyi Haladás	Haladás	HUN	Hungary	47.257112	16.608748613000444
Paris Saint-Germain	Paris	FRA	France	48.853408154000476	2.3337563460004276
1. FSV Mainz 05	Mainz	GER	Germany	49.9935994	8.2472526
Galatasaray AŞ	Galatasaray	TUR	Turkey	41.103203	28.991243
West Bromwich Albion FC	West Brom	ENG	United Kingdom	52.5120994	-1.9796204759995817
Wigan Athletic FC	Wigan	ENG	United Kingdom	53.5450645	-2.6166683639995654
Aston Villa FC	Aston Villa	ENG	United Kingdom	52.52564092200049	-1.8397444219995691
FC Augsburg	Augsburg	GER	Germany	48.3705449	10.883326175000434
SC Freiburg	Freiburg	GER	Germany	47.9990077	7.85221964900046
Beşiktaş JK	Beşiktaş	TUR	Turkey	41.04540851900049	29.005740195000442
Watford FC	Watford	ENG	United Kingdom	51.656489	-0.39032
SS Lazio	Lazio	ITA	Italy	41.92843716100049	12.4851941
KGHM Zagłębie Lubin	Zagłębie	POL	Poland	51.41478786300047	16.19621622100044
Colorado Rapids	Colorado	USA	United States	39.8056867	-104.8918117
Nottingham Forest FC	Nottm Forest	ENG	United Kingdom	53.0756752	0.033259992000409966
TSV 1860 Munich	1860 München	GER	Germany	48.136410097000464	11.5836489
Al-Gharafa Sports Club	Al-Gharafa	QAT	Qatar	25.3325814	51.44670929999999
FC Kairat Almaty	Kairat	KAZ	Kazakhstan	43.5464624	77.5920295
Calcio Como	Como	ITA	Italy	45.8131012	9.0721636
GIF Sundsvall	Sundsvall	SWE	Sweden	62.39128933100051	17.306927
FC Basel 1893	Basel	SUI	Switzerland	47.5595986	7.5885761
Videoton FC	Videoton	HUN	Hungary	47.1739681840005	18.413749941000447
LOSC Lille	LOSC	FRA	France	50.637149827000485	3.0628298710004174
Rayo Vallecano de Madrid	Rayo Vallecano	ESP	Spain	40.37656987100047	-3.6115975759995536
Delfino Pescara 1936	Pescara	ITA	Italy	42.4617902	14.1435193
Celta de Vigo	Celta	ESP	Spain	42.228974	-8.847789959999602
Tottenham Hotspur FC	Tottenham	ENG	United Kingdom	51.603726097000504	-0.06783299999999999
Crystal Palace FC	Crystal Palace	ENG	United Kingdom	51.4003895	-0.07853809199957595
FC Viktoria Plzeň	Plzeň	CZE	Czech Republic	49.750358561000496	13.3842745
Millwall FC	Millwall	ENG	United Kingdom	51.49767	-0.020534
AC Milan	Milan	ITA	Italy	45.4654219	9.189509981000413
VfL Wolfsburg	Wolfsburg	GER	Germany	52.42451626200051	10.7865461
KV Oostende	Oostende	BEL	Belgium	51.216386968000506	2.928656
SL Benfica	Benfica	POR	Portugal	38.75205652700049	-9.18322816199958
İstanbul Başakşehir	İstanbul Başakşehir	TUR	Turkey	41.083333	28.816667
Bayer 04 Leverkusen	Leverkusen	GER	Germany	51.03319008200049	6.984318665000444
SK Rapid Wien	Rapid Wien	AUT	Austria	48.2081743	16.3738189
Arsenal FC	Arsenal	ENG	United Kingdom	51.5540370060005	-0.105505
Hannover 96	Hannover	GER	Germany	51.50730815300051	7.156319799999999
MŠK Žilina	Žilina	SVK	Slovakia	49.22380996700048	18.7408001
AIK Solna	AIK	SWE	Sweden	59.36887909999999	18.0084334
VfB Stuttgart	Stuttgart	GER	Germany	48.7932328	9.1829321
Manchester City FC	Man. City	ENG	United Kingdom	53.4807593	-2.272817876999568
KF Skënderbeu	Skënderbeu	ALB	Albania	42.3764079	20.4385842
Manchester United FC	Man. United	ENG	United Kingdom	53.4630484	-2.2951326
Ipswich Town FC	Ipswich	ENG	United Kingdom	52.059166682000466	1.1554459070004555
