longer_name	name	country_code	country_name	ac_query_name	city	country	lat	lng
Tottenham Hotspur FC	Tottenham	ENG	United Kingdom	Tottenham Hotspur FC, High Road, London, United Kingdom	London	GB	51.54766227100049;51.60496740000001;51.5483176;51.603531;51.603726097000504	-0.2377921;-0.25031008099955443;-0.0722785;-0.06783299999999999;-0.06793703299956633
VfB Stuttgart	Stuttgart	GER	Germany	VfB Stuttgart Hockey, Mercedesstraße, Stuttgart, Germany	Stuttgart	DE	48.7932328;48.78920785100047;48.7758459;48.78231896200049;None	9.226619999999999;9.1829321;None;9.234236012000451;9.177019089000453
SV Darmstadt 98	Darmstadt	GER	Germany	FAILED	Darmstadt;Hanau	DE	49.8728253;50.108607;DIFF;49.870556395000506	8.927711;8.6511929;8.649436406000461
RB Leipzig	Leipzig	GER	Germany	FAILED	Leipzig	DE	51.34388765400047;51.3461081;51.3396955;51.33961753300048	12.3730747;12.3515611;12.342218216000447;12.371285637000426
FC Bayern München	Bayern	GER	Germany	FC Bayern München Fan Shop, München-Flughafen, Germany	München	DE	48.1326687;48.10154737300047;48.7904472;48.999996146000456;None	11.572269040000435;11.4978895;11.7055556;None;11.499996453000449
SV Werder Bremen	Bremen	GER	Germany	SV Werder Bremen, Franz-Böhmert-Straße, Bremen, Germany	Bremen	DE	53.07515852500046;None;53.07929619999999;53.0655766	8.8391511;8.8016937;None;8.807768356000452
1. FSV Mainz 05	Mainz	GER	Germany	1. FSV Mainz 05, Isaac-Fulda-Allee, Mainz, Germany	MZ	DE	45.86839013500048;49.9935994;49.98418931100048;DIFF;49.9928617;None	4.96896996500044;8.221522000000002;8.2472526;8.279096769000432;DIFF;None
FC Schalke 04	Schalke	GER	Germany	Schalke 04, Ernst-Kuzorra-Weg, Gelsenkirchen, Germany	GE	DE	51.559463	7.0622516
FC Luzern	Luzern	SUI	Switzerland	Risch, FC Ebikon, Rischstrasse, Ebikon, Luzern, Switzerland	Ebikon;Lucerne;Rothenburg	CH	47.05016819999999;47.04953995200049;47.05047664200049;47.1009823;47.0842645	8.3405221;8.270781;8.3093072;8.304369954000435;8.306346351000457
Stoke City FC	Stoke	ENG	United Kingdom	FAILED	Stoke	GB	53.004145827000514;53.002668;53.0499979	-2.179404;-2.185377135999545;-2.1700486
TSV 1860 Munich	1860 München	GER	Germany	FAILED	Munich;Hirschbach	DE	48.1351253;49.55754940000001;48.136410097000464;DIFF	11.577539975000434;11.5836489;11.5819806
Chelsea FC	Chelsea	ENG	United Kingdom	Chelsea FC, Fulham Road, London, United Kingdom	London	GB	51.485093;51.499710078000476;51.4818067;51.480877998000494;51.480068;51.48754640600049	-0.1872532;-0.1604800429995521;-0.189926;-0.16935803299958252;-0.18943975099955424;-0.174936
Liverpool FC	Liverpool	ENG	United Kingdom	The Boot Room Sports Cafe – Anfield, Anfield Road, Liverpool, United Kingdom	Liverpool	GB	53.429901;53.41009013500047;53.43315552700051;53.431866;53.4083714;53.41057676100047	-2.9915726;-2.961477;-2.968442361999564;-2.9779368059995477;-2.9609373;-2.9784300429995483
KV Mechelen	Mechelen	BEL	Belgium	KV Mechelen, Mechelen, Belgium	Mechelen	BE	51.0258761;51.0258791;51.0289299690005;51.02573888600051	4.48543997100046;4.477536499999999;4.477536199999999;4.477618104000442
FC Barcelona	Barcelona	ESP	Spain	Fc Barcelona, Avinguda Doctor Marañón, Barcelona, Spain	Barcelona	ES	41.3813544;41.38126771600048;41.388786549000486;41.3850639;41.3806915	2.1203177860004416;2.1149698;2.1178229;2.1589873540004305;2.1734035
Galatasaray AŞ	Galatasaray	TUR	Turkey	galatasaray as near Turkey		TR	41.103203	28.991243
Club Brugge KV	Club Brugge	BEL	Belgium	Club Brugge K.V., Olympialaan, Bruges, Belgium	Brugge	BE	51.194545907000474;51.19510529999999;None;51.20562842300046	3.1792763160004256;3.217765901000405;3.1790154;None
KRC Genk	Genk	BEL	Belgium	FAILED	Genk	BE	50.96613;51.004946231000474;50.96499877600047;DIFF	5.531829556000446;5.500818307000429;5.5021
KV Oostende	Oostende	BEL	Belgium	FAILED	Ostend	BE	51.216386968000506;51.21543;51.22338834700048	2.9118470470004354;2.928656;2.885659371000429
Montreal Impact	Montreal	CAN	Canada	Montreal Impact Group, Chemin Kingsley, Côte Saint-Luc, QC, Canada	Montréal;Côte Saint-Luc;Montreal	CA	45.5016889;45.50883694400045;45.5499938;45.4608831	-73.53188709999999;-73.58780853599967;-73.567256;-73.6607952
AS Roma	Roma	ITA	Italy	Palazzo Braschi, Piazza di San Pantaleo, Rome, Metropolitan City of Rome, Italy	Roma;San Giorgio;Rome	IT	41.8971715;41.9027835;41.75417662500047;41.89473965200045;41.2667714	12.4963655;12.4728221;12.47188771000043;14.3137814;12.483897144000423;DIFF
FC Zenit	Zenit	RUS	Russian Federation	The stadium "Zenith", ulitsa Vernosti, Saint Petersburg, Russian Federation	Zenit;СПБ	RU	59.85365851500052;60.008544541000504;60.00196985500048;DIFF;None;59.69947819999999;60.00394350000001	30.267889530000446;None;30.397851714000467;30.398305957000446;30.4135125;30.0870107
Manchester City FC	Man. City	ENG	United Kingdom	Manchester City FC, Manchester, United Kingdom	Bury;Manchester	GB	53.4807593;53.40891640800049;DIFF;53.5809168;54.99780641300049	-7.320969413999592;-2.272817876999568;DIFF;-2.2951248;-2.2426305
Manchester United FC	Man. United	ENG	United Kingdom	Manchester United Ticket Office, Stretford, United Kingdom	Stretford;Coppull	GB	53.51776624900049;53.6173816;53.4630484;53.446622	-2.1807155499995474;-2.2951326;-2.308713;-2.664483
Club Atlético de Madrid	Atlético	ESP	Spain	Club Atlético de Madrid, Paseo de la Virgen del Puerto, Madrid, Spain	Madrid;Pozuelo de Alarcón	ES	40.4109106;40.4206094;40.3757325;42.46061843700045;DIFF	-3.8065473;-3.7423397;DIFF;-3.721263;-2.436337865999576
Everton FC	Everton	ENG	United Kingdom	FAILED	Everton;Potton	GB	53.39999819900049;DIFF;53.425713;52.12303989999999;53.4294901340005	-0.216654;-0.9499982609995641;DIFF;-2.966368;-2.967390028999546
Olympique de Marseille	Marseille	FRA	France	Olympique Pizza, Rue Saint-Savournin, Marseille, France	Marseille	FR	43.29661725200049;43.2982895;None;43.296482;43.296945723000476	None;5.378406670000459;5.381065934000446;5.3878173;5.36978
HNK Hajduk Split	Hajduk Split	CRO	Croatia	HNK Hajduk Split, Osmih mediteranskih igara, Split, Croatia	Split	HR	43.52031940100045;43.5197686;None;43.52043639100049	16.4295959;16.430055970000467;None;16.430298949000473
AS Monaco FC	Monaco	FRA	France	FAILED	Monaco-Ville	MC	43.730986207000456;43.73741099999999;None	7.410277866000456;None;7.420815999999999
US Sassuolo Calcio	Sassuolo	ITA	Italy	U.S. Sassuolo Calcio (S.R.L.), Piazza Risorgimento, Sassuolo, Province of Modena, Italy	Sassuolo	IT	44.5408968;None;44.54433;44.5508584530005	10.784699427000419;10.7880756;10.7847741;None
FC Lokomotiv Moskva	Lokomotiv Moskva	RUS	Russian Federation	fc lokomotiv near Moscow, Russian Federation	Moscow;Moskva	RU	55.4284586980005;55.800076;55.755826	DIFF;37.739931;36.86703993600048;37.6173
Bayer 04 Leverkusen	Leverkusen	GER	Germany	Pendelbus-Parkplatz Bayer 04 Leverkusen, Otto-Bayer-Straße, Cologne, Germany	LEV;Köln	DE	50.94167009300048;51.04592479999999;51.01517190000001;51.0108065;51.03029698200049;51.03319008200049;DIFF	6.984318665000444;7.0192196;6.994045;6.981740061000437;6.9897579;6.955160071000421;DIFF
FC Shakhtar Donetsk	Shakhtar Donetsk	UKR	Ukraine	FAILED	Donetsk	UA	48.015883;47.968615669000485;DIFF;47.971263;47.91338757000045	37.842979;37.7727780620005;37.70252579600049;37.80285
GNK Dinamo Zagreb	Dinamo Zagreb	CRO	Croatia	GNK Dinamo, Maksimirska cesta, Zagreb, Croatia	Novo Čiče;Zagreb	HR	45.82139720800046;None;45.70622909999999;45.81997699999999	16.0178894;16.1163926;None;16.047697900000458
FC Internazionale Milano	Internazionale	ITA	Italy	FAILED	Milan	IT	43.811547058000485;45.7924983;DIFF;45.4654219	9.1859243;DIFF;6.9254824;7.764657419000457
Real Madrid CF	Real Madrid	ESP	Spain	Real Madrid Store, La Rambla, Barcelona, Spain	Madrid;Barcelona	ES	40.3626461;41.3807575;40.42492708000049;DIFF;None	-3.7388727;2.1737673;DIFF;None;-3.678367150999577
ACF Fiorentina	Fiorentina	ITA	Italy	ACF Fiorentina SpA, Via dei Sette Santi, Florence, Metropolitan City of Florence, Italy	Fiorentina;Firenze	IT	42.96402994300047;43.78054830000001;42.9636137;45.80650803000049;DIFF;None	9.079526240000462;10.5355882;10.536040042000423;11.277242;DIFF;None
TSG 1899 Hoffenheim	Hoffenheim	GER	Germany	TSG 1899 Hoffenheim, Horrenberger Straße, Zuzenhausen, Germany	Zuzenhausen;Sinsheim	DE	45.86839013500048;49.2889346;49.27284710000001;49.27199700900047;49.27088005900049;None;DIFF	4.96896996500044;8.8106577;8.841700090000415;8.842996099999999;8.84098890800044;DIFF;None
Torino Juventus	Juventus	ITA	Italy	Juventus Stadium, Corso Gaetano Scirea, Turin, Metropolitan City of Turin, Italy	Torino;Garino;São Paulo	BR;IT	45.1089928	7.638763099999998
Málaga CF	Málaga	ESP	Spain	FAILED	Málaga	ES	36.721261;36.720158333000484	-4.42033780999958;-4.4212655
Arsenal FC	Arsenal	ENG	United Kingdom	The Arsenal Museum, Drayton Park, London, United Kingdom	Shenley;London	GB	51.55352785400049;51.5525327;51.5584654;51.71083729999999;51.5540370060005	-0.105505;-0.10500292699958891;-0.2849865;-0.11032777099956093;-0.1057342
FC Slovan Liberec	Liberec	CZE	Czech Republic	FC Slovan Liberec, A.s., Liberec, Czech Republic	Liberec	CZ	50.76627999999999;50.776766979000456;None;50.767106337000484	15.051436806000424;None;15.05618838400045;15.0543387
Fenerbahçe SK	Fenerbahçe	TUR	Turkey	Yafes Mahallesi, Fenerbahçe Sk., Cizre/Şırnak, Turkey		TR	40.97428620000001;41.11705108700045;40.9726679740005;DIFF;37.3209186	DIFF;42.19508;29.0430833;29.040056485000434;29.09645689600046
FC Viktoria Plzeň	Plzeň	CZE	Czech Republic	FC Viktoria Plzeň, Štruncovy sady, Pilsen, Czech Republic	Pilsen	CZ	49.7494916;49.750358561000496;49.74746981700048;49.7384314	13.3736371;13.384078264000436;13.37758983900045;13.3842745
Bursaspor	Bursaspor	TUR	Turkey	Gaziakdemir Mahallesi, Bursaspor Store, Osmangazi/Bursa, Turkey	Bursa	TR	40.1885281;40.21297788800047;None	None;29.157478066000465;29.0609636
AC Sparta Praha	Sparta Praha	CZE	Czech Republic	AC Sparta Praha, Milady Horákové, Prague, Czech Republic	Praha;Prague	CZ	50.0981902;50.099298;50.09863665500046;None;50.102776288000484	14.421857173000433;14.418488;None;14.4118205;14.413708396000459
Sheffield Wednesday FC	Sheff. Wednesday	ENG	United Kingdom	FAILED	Sheffield	GB	53.4158749	-1.5077223
FC Girondins de Bordeaux	Bordeaux	FRA	France	Tramway de Bordeaux, Rue du Commandant Marchand, Bordeaux, France	Bordeaux	FR	44.8342314;44.837789;44.84043925700047	-0.6003646;-0.57918;-0.5804955499995685
Kasımpaşa SK	Kasımpaşa	TUR	Turkey	Camiikebir Mahallesi, Kasımpaşa Cami Sokak, Beyoğlu/İstanbul, Turkey	Kasımpaşa	TR	38.764537;39.91502653600048;39.9400657;41.03285;41.03177922900045;41.03284752600047;DIFF	41.2923813;44.046895909000455;28.968234;28.968241264000483;DIFF;28.96841834200046;30.539422
Brighton & Hove Albion FC	Brighton	ENG	United Kingdom	Brighton & Hove Albion FC Shop, Village Way, Brighton, United Kingdom	Brighton	GB	50.82837740000048;50.86070549999999;DIFF;52.19534607000048;50.82253000000001;50.86054954500048	-0.08128149999999999;-0.08396910999954343;-0.137163;-0.1394671859995924;DIFF;-2.9697837499995785
Hertha BSC	Hertha	GER	Germany	Hertha BSC Tischtennis, Bernauer Straße, Berlin, Germany	Berlin;Hohen Neuendorf	DE	DIFF;52.5383229;None;54.54999715100047;52.52580677300051;52.66571219999999	13.3139583;None;13.369238581000445;13.58332958300042;13.3960555
SK Slavia Praha	Slavia Praha	CZE	Czech Republic	SK Slávia Praha, Vladivostocká, Prague 10, Czech Republic	Prague;Drahelčice	CZ	50.0693812;50.069056280000495;50.06054994700048;50.0313726;50.081605667000474;50.069527	14.2099685;14.470683;14.413046955000425;14.478115681000418;14.4781514;14.557030048000456
Southampton FC	Southampton	ENG	United Kingdom	FAILED	Southampton	GB	50.90394819400046;50.909970039000484;50.90970040000001;None	-1.4043509;-1.4042779489995496;None;-1.4070900159995858
Burnley FC	Burnley	ENG	United Kingdom	ATM (Burnley FC), Harry Potts Way, Burnley, United Kingdom	Burnley	GB	53.78801009300048;None;53.78839991500047;53.78874339999999;53.7892877;53.79999920400047	None;-2.2438100609995786;-2.2405035;-2.2328754;-2.230750313999579;-2.233329380999578
