longer_name	name	country_code	country_name	ac_query_name	city	country	lat	lng
Odense Boldklub	OB	DEN	Denmark	Odense Boldklub, Søndre Boulevard, Denmark	פ"ת;Odense	IL;DK	55.40375599999999	10.40237
Swansea City AFC	Swansea	ENG	United Kingdom	Swansea Tennis Centre, Swansea, United Kingdom	Bon-y-maen;Swansea;Brynmill	GB	51.639146954000466;51.6414854;51.62144;51.61230519999999;51.62078858300049	-3.965833;-3.924337823999565;-3.943645999999999;-3.9275434;-3.9432271479995507
Malmö FF	Malmö	SWE	Sweden	Malmö FF, Eric Perssons väg, Malmö, Sweden	Malmö	SE	55.604981;55.60586895500052;None;55.5842332	DIFF;13.003822;13.000725782000416;12.990818;None
GIF Sundsvall	Sundsvall	SWE	Sweden	Gif Sundsvall, Universitetsallén, Sundsvall, Sweden	Sundsvall	SE	62.38887995300047;62.390811;62.39128933100051;None;62.3946305	17.290592;17.306299214000433;None;17.306720031000452;17.306927
Cardiff City FC	Cardiff	WAL	Wales	Cardiff City FC, Bridge Street, Cardiff, Wales, United Kingdom	Cardiff	GB	51.4958490300005;51.479996076000475;51.4797075;51.47349865300049;51.4640618;51.48158100000001	-3.17909;-3.2051486439995642;-3.179995875999566;-3.1734435;-3.2475789;-3.2212337819995582
Udinese Calcio	Udinese	ITA	Italy	FAILED	Udine;Basaldella	IT	46.08149662800048;46.0710668;46.41082690400049;46.0408771	13.19773629900044;13.201389975000438;13.2056341;13.2345794
Charlton Athletic FC	Charlton	ENG	United Kingdom	Charlton Athletic FC, Floyd Road, London, United Kingdom	Charlton-on-Otmoor;London	GB	51.837145;51.4864750590005;51.48729900000001;51.4441783;51.5166678220005	0.032499919000429145;0.0718642;0.0348582;DIFF;-2.599997342999586;-1.181499
FC Augsburg	Augsburg	GER	Germany	FC Augsburg, Donauwörther Straße, Augsburg, Germany	A	DE	48.3931879;48.3525485990005;48.3705449;48.366668346000495;None	10.89779;10.883326175000434;10.8816554;10.93468911700046;None
1. FC Kaiserslautern	Kaiserslautern	GER	Germany	Delorme-Goldberg Tierärztliche Praxis / Vet Clinic With branch in Kaiserslautern, Landstuhl, Germany	KL;Landstuhl	DE	49.41414640000001;49.4420800850005;49.44299983500048;49.4400657	7.771609302000456;7.7491265;7.760450037000453;7.570905199999999
Molde FK	Molde	NOR	Norway	FAILED	Molde	NO	62.73723520000001	7.1607306
AC Milan	Milan	ITA	Italy	AC Milan, Via Milanello, Carnago, Province of Varese, Italy	Milan;Milano;Carnago	IT	45.46795993100045;45.4642683990005;45.5120844;45.7142248;45.4654219	8.8321937;9.139245599999999;9.189509981000413;9.181780081000454;9.1859243;DIFF
Bologna FC 1909	Bologna	ITA	Italy	Bologna F.C.1909 S.P.A., Via Andrea Costa, Bologna, Metropolitan City of Bologna, Italy	Bologna	IT	44.4946457	11.3144803
Torino FC	Torino	ITA	Italy	Torino F.C., Corso Giovanni Agnelli, Turin, Metropolitan City of Turin, Italy	Torino;Cesena;Turin	IT	45.07048584300048;DIFF;45.070312;44.1710037;45.0334333	7.686856499999999;DIFF;12.2318168;7.686818826000433;7.6419322
Hamilton Academical FC	Hamilton	SCO	Scotland	FAILED	Hamilton	GB	56.49067119999999;DIFF;55.76666668600046;55.77763299999999	-4.033327152999561;-4.053679;-4.2026458
Linfield FC	Linfield	NIR	North Ireland	FAILED		IE	52.57687259999999;None;52.57150000000047	-8.3642439;-8.373069975999556;None
St Johnstone FC	St Johnstone	SCO	Scotland	St Johnstone FC, Crieff Road, Perth, Scotland, United Kingdom	Alva;Crieff;Perth	GB	56.40937615400048;56.41032556900046;56.4074386;56.15210829999999;56.40630830000001;56.4069549510005	-3.4759498;-3.4781484179995914;-3.8006141;-3.4626449;-3.4509663299995736;-3.465206916999591
Fleetwood Town FC	Fleetwood	ENG	United Kingdom	FAILED	Fleetwood	GB	53.92246933600046;53.9167458440005;53.916661	-3.02341876999958;-3.0331064099995615;-3.035673
West Bromwich Albion FC	West Brom	ENG	United Kingdom	West Bromwich Albion Football Club, Birmingham Road, West Bromwich, United Kingdom	West Bromwich	GB	DIFF;52.517664;52.5120994;None;55.5565398330005;52.51205703800048;52.51004917200049	-1.9644872369995596;-1.9802395;DIFF;None;-1.9796204759995817;-3.8481685829995627;-1.995159
Fulham FC	Fulham	ENG	United Kingdom	Fulham Football Club 1987 Ltd, Stevenage Road, London, United Kingdom	London	GB	51.48025705300046;51.4754674670005;51.4753535;51.4773433;51.480068;51.47772010300048	-0.2209317;-0.22102130899958183;-0.1992983759995468;-0.189926;-0.20145008699955724;-0.2016817
Doncaster Rovers FC	Doncaster	ENG	United Kingdom	Doncaster Rovers FC, Doncaster, United Kingdom	Doncaster	GB	53.52326926100051;None;53.508699554000486;53.52282	-1.1129198039995458;-1.1369071749995783;None;-1.128462
Melbourne City FC	Melbourne City	AUS	Australia	Melbourne City FC, Crissane Road, Bundoora, Victoria, Australia	Bonbeach;Melbourne	AU	-37.813999663999596;-38.0622479;-37.7283969;DIFF;-37.8162789	144.9642459;145.0503143;145.1271167;DIFF;144.96331920200055
Milton Keynes Dons FC	MK Dons	ENG	United Kingdom	FAILED			52.009257111000466;None	-0.7352188199995453;None
Millwall FC	Millwall	ENG	United Kingdom	FAILED	London	GB	51.49767;51.4413339;51.49057913700051	0.069878;-0.02374645399959263;-0.020534
Blackburn Rovers FC	Blackburn	ENG	United Kingdom	FAILED	Blackburn	GB	53.7499996410005;53.748575;None	-2.48332719599955;None;-2.487529
Leeds United FC	Leeds	ENG	United Kingdom	FAILED	Leeds	GB	53.79647601700049;53.8007554;None	-1.5478467089996002;None;-1.5490774
Reading FC	Reading	ENG	United Kingdom	Reading Rockets Basket Ball Club, Finch Road, Earley, United Kingdom	Earley;Reading	GB	51.45624718400046;51.437487758000486;51.4375166;51.45352001500049;51.4542645;51.4566335	-0.9158363;-0.9158482629995888;-0.9630100939995714;-0.9781303;-0.9709453;-0.9711283859995774
Nottingham Forest FC	Nottm Forest	ENG	United Kingdom	FAILED	Nottingham	GB	51.09825008700051;53.0756752;DIFF;None	0.033259992000409966;DIFF;None;-1.2408939
Kilmarnock FC	Kilmarnock	SCO	Scotland	FAILED	Darvel;Kilmarnock	GB	55.614719;55.611677940000504;55.60883998100047;55.6089042	-4.509689891999585;-4.49863986199955;-4.277665799999999;-4.498792
Aberdeen FC	Aberdeen	SCO	Scotland	Aberdeen FC, Pittodrie Street, Aberdeen, Scotland, United Kingdom	Aberdeen	GB	57.149717;57.15941999300048;DIFF;56.49067119999999;57.1597113;57.159806062000484;57.14432743600048	DIFF;-2.0954300269995656;-2.098548340999571;-2.0915531;-2.094278;-4.2026458;-2.088545728999577
Wigan Athletic FC	Wigan	ENG	United Kingdom	FAILED	Wigan	GB	53.533325868000475;53.5450645;None	-2.6166683639995654;None;-2.6325074
Birmingham City FC	Birmingham	ENG	United Kingdom	FAILED	Birmingham	GB	52.473907;52.48624299999999;52.481418212000506	-1.8998279749995959;-1.890401;-1.917183
Queens Park Rangers FC	QPR	ENG	United Kingdom	Queens Park Rangers FC, London, United Kingdom	London	GB	51.51001741200048;51.51074999999999	-0.230056;-0.23147952099958502
AFC Bournemouth	Bournemouth	ENG	United Kingdom	AFC Bournemouth, Bournemouth, United Kingdom	Bournemouth	GB	50.719164;50.73461922000047;None;50.72047697400046	-1.8794987789995616;-1.8402892579995864;None;-1.880769
US Città di Palermo	Palermo	ITA	Italy	Provincia Palermo, Via Padre Domenico Sparacio, Prizzi, Province of Palermo, Italy	Palermo;Prizzi	IT	38.11581748500049;DIFF;37.72201889999999;38.1156879	13.3612671;13.359757922000426;13.435728
Lechia Gdańsk	Lechia	POL	Poland	Lechia Gdańsk S.A., Pokoleń Lechii Gdańsk, Gdańsk, Poland	Gdańsk	PL	54.36842926300051;54.3904704	18.6371333;18.62489820400043
Cagliari Calcio	Cagliari	ITA	Italy	FAILED	Cagliari	IT	39.20737562300047;39.2238411;DIFF;45.50669991400048;39.2132322	9.0901144;9.134619352000414;9.846540070000458;9.1216613
Empoli FC	Empoli	ITA	Italy	Via Empoli, Cesena, FC, Italy	Empoli;Cesena	IT	43.71753690000048;43.7178919;44.1325193;DIFF;44.13218902200049	DIFF;10.9477782;10.941416020000418;12.2253049;12.225985209000442
KS Cracovia			United States Minor Outlying Islands	FAILED		UM;US	50.0284188	19.9726595
KGHM Zagłębie Lubin	Zagłębie	POL	Poland	FAILED	Łódź	PL	51.41478786300047	16.19621622100044
Amsterdamsche Football Club Ajax	Ajax	NED	Netherlands	FAILED	Rotterdam	NL	DIFF;51.96227829999999;52.31364610000048;None	4.940109564000409;4.4897053;None
Ruch Chorzów	Ruch	POL	Poland	Ruch Chorzów, Cicha, Chorzow, Poland	Chorzów	PL;US	50.29403631600047	18.948666974000446
Sporting Clube de Portugal	Sporting CP	POR	Portugal	Sporting Clube de Portugal, Rua Professor Fernando da Fonseca, Lisbon, Portugal	M.nha Grande;Lisboa	PT	38.761818933000484;38.76196914700046;38.7619078;39.7440862;DIFF;None	DIFF;-9.162147531999608;None;-9.1630336;-9.164461284999561;-8.915233599999999
FC Lorient	Lorient	FRA	France	FAILED	Lorient	FR	47.7482524;47.74999806800048;None;47.75016993300051	-3.366849962999595;-3.3666663109995625;-3.3702449;None
SL Benfica	Benfica	POR	Portugal	Sport Lisboa e Benfica, Lisbon, Portugal	Rio de Janeiro;Algés	PT;BR	38.75205652700049	-9.18322816199958
FC Porto	Porto	POR	Portugal	fc porto house, Rua da Areinha, Laundos, Portugal	Laundos;Campelo;Porto	PT	41.4420668;41.16237564000045;41.1579438;41.149605773000474;41.159082	-8.7198671;-8.046949;-8.629105299999999;-8.608525658999554;-8.610986940999567
SC Braga	Braga	POR	Portugal	FAILED	Braga	PT	41.55160991500048;41.55031771500046;None;41.5454486	-8.4291501929996;-8.426506999999999;None;-8.42004638499958
LOSC Lille	LOSC	FRA	France	FAILED	Lille	FR	48.8466182570005;50.62925;DIFF;50.637149827000485	3.0628298710004174;2.422416478000457;3.057256;DIFF
Aston Villa FC	Aston Villa	ENG	United Kingdom	Aston Villa New St Store, New Street, Birmingham, United Kingdom	Rubery;High Littleton	GB	DIFF;51.32049749999999;52.4043394;None;52.52564092200049;52.50824933100051	DIFF;None;-2.0111688;-1.8397444219995691;-2.5058954;-1.8849162979995526
Sunderland AFC	Sunderland	ENG	United Kingdom	Sunderland AFC, Millenium Way, Sunderland, United Kingdom	Sunderland	GB	54.913871593000465;54.906869;54.91522974100047;54.904646680000496;54.91385500000001	-1.3823288969995815;-1.3857190399995716;-1.383801;-1.3822164069995893;-1.3857459
Derby County FC	Derby	ENG	United Kingdom	Derby County FC, Derby, United Kingdom	Derby;Glapwell	GB	DIFF;52.9225301;53.190739;52.92276604800048	-1.2816583;-1.4766270289995873;-1.4746186
Hull City AFC	Hull	ENG	United Kingdom	Hull City A.F.C., Hull, United Kingdom	Hull;Cottingham	GB	53.746926414000484;53.744595621000485;53.7880936;53.7456709	-0.3367413;-0.4103542;-0.33524931199957564;-0.36872634199954746
Norwich City FC	Norwich	ENG	United Kingdom	Norwich City FC, Carrow Road, Norwich, United Kingdom	Norwich	GB	52.6308859;52.627826220000486;52.62272549999999;52.60515543800051;52.6217507	1.297355;1.3117356;1.3088237;1.5757591010004148;1.2983397260004494
LA Galaxy	LA Galaxy	USA	United States	LA Galaxy, South Avalon Boulevard, Carson, CA, United States	Carson;Lafayette	US	33.8448259;DIFF;30.2068934;33.862718396000446	-118.2639643;DIFF;-92.10763949999999;-118.2659773899997
Ipswich Town FC	Ipswich	ENG	United Kingdom	FAILED	Rushmere St Andrew;Ipswich	GB	52.0679656;52.056736;52.059166682000466	1.2131425;1.14822;1.1554459070004555
FC Astra Giurgiu	Astra	ROU	Romania	Astra S.A., Bolintin-Vale, Giurgiu County, Romania	Brașov;Bolintin-Vale;Giurgiu	RO	45.63332739700047;DIFF;43.9037076;44.4474639;45.63917800000001	25.7646681;25.583328228000482;25.9699265;25.6269792
Rayo Vallecano de Madrid	Rayo Vallecano	ESP	Spain	Fundación Rayo Vallecano, Calle del Rayo Vallecano de Madrid, Madrid, Spain	Madrid	ES	40.37629099999999;40.37656987100047	-3.6115975759995536;-3.611793
PFC Ludogorets Razgrad	Ludogorets	BUL	Bulgaria	FAILED	Dulovo;Razgrad	BG	43.8149115;43.53367189999999	26.5411164;27.1378769;DIFF
FC Dinamo Bucureşti	Dinamo Bucureşti	ROU	Romania	FAILED	București	RO	44.45309562900047;44.4554287;44.45301913500049;44.4529714	26.1044705;26.103338084000484;26.1037697;26.09710613700048
Al-Sailiya SC	Al-Sailiya	QAT	Qatar	FAILED	الريان	QA	25.2188889;None;25.248606294000467	51.36548687400051;51.3797222;None
CS Pandurii Târgu Jiu	Pandurii	ROU	Romania	FAILED	Târgu Jiu;Costești	RO	DIFF;44.6698463;45.0314279;44.616669613000454	24.844529;26.749998200000448;DIFF;23.2689393
Hapoel Be'er Sheva FC	H. Beer-Sheva	ISR	Israel	FAILED	ב"ש	IL	31.252973;None;31.236140045000468;31.253656419000436	34.78804892100044;34.79085002900047;34.791462;None
FC Steaua Bucureşti	Steaua	ROU	Romania	FAILED	Slatina	RO	DIFF;45.765876635000495;44.41465554000047;None;44.42120380000001	24.3843233;26.041558566000447;DIFF;None;22.910709391000466
Osmanlıspor	Osmanlıspor	TUR	Turkey	FAILED			41.01430	28.62652
Al-Ittihad Club	Al-Ittihad	KSA	Saudi Arabia	FAILED	Jeddah	SA	21.5406577;21.542568660000427;None	39.21142640000045;None;39.2139977
Córdoba CF	Córdoba	ESP	Spain	Fundación Córdoba C.F., Córdoba, Spain	Córdoba	ES	37.883327616000486;37.8881751	-4.766667577999556;-4.7793835
Gençlerbirliği SK	Gençlerbirliği	TUR	Turkey	Gençlerbirliği Sk., Esentepe Mahallesi, Trabzon Merkez/Trabzon, Turkey		TR	40.9983386;41.11705108700045;40.8889468;DIFF;37.86865891700046	32.487677551000445;29.09645689600046;DIFF;29.1886745;39.73811800000001
PFC CSKA Moskva	CSKA Moskva	RUS	Russian Federation	Цска Школа Танцев, Moscow, Russian Federation	Moscow	RU	57.44911719900051	37.6173
FC Spartak Moskva	Spartak Moskva	RUS	Russian Federation	Фонд Поддержки Ветеранов И Молодежи.Футбольного Клуба Спартак-Москва, Pogodinskaya ulitsa, Moscow, Russian Federation	Moscow;Moskva	RU	55.755826;55.61881880600049;55.73018542000051;55.81747799999999;55.7310552	37.6173;37.50604623200047;37.563102510000476;37.5649667;37.436128
FC Terek Grozny	Terek	RUS	Russian Federation	FAILED	Terek;Grozny	RU	43.4795902;43.3168796;43.48332818400047	DIFF;44.1393572;45.68148559999999;44.13610889400047
SK Rapid Wien	Rapid Wien	AUT	Austria	FAILED	Vienna	AT	48.2081743;48.20253992400046	16.3738189;16.36879999000047
UC Sampdoria	Sampdoria	ITA	Italy	FAILED	Genova	IT	44.4155383;44.404117475000476	8.952674799999999;8.947449461000417
FC Dinamo Moskva	Dinamo Moskva	RUS	Russian Federation	FAILED	Moscow;Moskva	RU	55.7902895900005;55.789711;55.755826	37.55816960600049;37.558184;37.6173
FK Jablonec	Jablonec	CZE	Czech Republic	FK Jablonec, a.s., U Stadionu, Jablonec nad Nisou, Czech Republic	Nečín;Hejnice;Jablonec nad Nisou	CZ	49.6852713;50.72430613500046;50.7159724;DIFF;50.8792316;50.71597737400049	14.2236826;15.171076689000472;15.1880245;15.163008905000424;15.1632592;DIFF
MŠK Žilina	Žilina	SVK	Slovakia	FAILED	Žilina	SK	49.21944980000001;49.22314934400049;49.22380996700048	18.739408543000422;18.7408001;18.74765005800043
Willem II Tilburg	Willem II	NED	Netherlands	Willem II College, Tatraweg, Tilburg, Netherlands	Roermond;Tilburg	NL	51.5589156;51.5419023;51.190229;51.54121764400048	5.086638199999999;5.064919488000442;5.083543199999999;5.991261
Athletic Bilbao	Athletic	ESP	Spain	Bar Athletic, Bilbao, Spain	Bilbao;Madrid;Andra Mari	ES	40.4853113;43.298455;43.2630126;43.268669985000486;43.28856746600047;DIFF	-3.6812719;DIFF;-2.7530628;-2.9349852;-3.0082866129995978;-2.9461602679995735
Villarreal CF	Villarreal	ESP	Spain	Villarreal cf, Carrer Miralcamp, Vila-real, Spain	Vila-real	ES	DIFF;39.9397706;38.72571586400045;39.9391986	-0.1165001;-7.215327788999559;DIFF;-0.1005932
Celta de Vigo	Celta	ESP	Spain	Fundación Celta de Vigo, Rúa Conde de Gondomar, Vigo, Spain	Vigo;Cuatro Puertas	ES	42.228974	-8.847789959999602
FC København	København	DEN	Denmark	F.C. København, Per Henrik Lings Allé, Denmark	København;Copenhagen	DK	55.675670003000505;55.675936737000484;55.6760968;55.7039682	12.567559943000447;12.565528900000459;12.5720147;12.5683371
Celtic FC	Celtic	SCO	Scotland	Celtic FC, Eastgate, Inverness, Scotland, United Kingdom	Inverness;Glasgow	GB	DIFF;55.89668289999999;55.86510895100048;56.49067119999999;57.478435;57.47831619900052;57.47839579100048	-4.261015947999567;-4.2026458;-4.3005843;-4.2212204;-4.221771072999559;-4.2213384689995905
Hamburger SV	Hamburg	GER	Germany	HSV-Museum, Sylvesterallee, Hamburg, Germany	Hamburg;Bönningstedt	DE	53.5510846;53.575316142000474;53.6617101;53.5884432	9.900746;10.015339698000446;9.9936818;DIFF;9.9044926
Grasshopper Club Zürich	Grasshoppers	SUI	Switzerland	FAILED	Zürich	CH	None;47.3768866	8.541694;None
Olympiacos FC	Olympiacos	GRE	Greece	FAILED		GR	DIFF;None;38.7595781;39.383427000000495	DIFF;None;22.744615629000464;23.3274646
Trabzonspor AŞ	Trabzonspor	TUR	Turkey	FAILED		TR	40.90798119999999	39.8281768
Panathinaikos FC	Panathinaikos	GRE	Greece	FAILED			None;38.01197570000045	None;23.691385615000456
Toulouse FC	Toulouse	FRA	France	FAILED	Toulouse	FR	43.60425945200046;43.604652	1.444209;1.443667830000436
BSC Young Boys	Young Boys	SUI	Switzerland	FAILED			46.96086	7.46505
Genoa CFC	Genoa	ITA	Italy	FAILED	Genoa;Cesena	IT	44.1517868;44.4056499;44.40631778000045	8.946256;8.933856167000442;DIFF;12.2402018
Beijing Guoan FC	Beijing Guoan	CHN	China	FAILED	Beijing	CN	39.9815606;39.904211	116.3706032;116.407395
FC Nordsjælland	Nordsjælland	DEN	Denmark	Hotel FC Nordsjælland, Farum Park, Farum, Denmark	Farum	DK	55.4632518;55.81684623300049;55.9697876620005;None;55.81611119999999	11.7214979;12.01947985500044;12.350268002000462;12.3511693;DIFF;None
FC Zorya Luhansk	Zorya	UKR	Ukraine	FAILED	Zorya;Luhansk	UA	48.574041;50.7241261;DIFF;50.93433849700051	24.205518992000464;26.0266362;DIFF;39.307815
FC Amkar Perm	Amkar	RUS	Russian Federation	FAILED			57.99080582100049;None	56.24843557200052;None
FC Dnipro Dnipropetrovsk	Dnipro	UKR	Ukraine	FAILED	Dnipro	UA	48.464717;48.42403825600047;DIFF;46.49749821300048	32.30860694100045;35.13318629400044;35.046183;DIFF
FC Kairat Almaty	Kairat	KAZ	Kazakhstan	FC Kairat Academy, Mailin Street, Almaty, Kazakhstan	Almaty;Kairat	KZ	43.5464624;43.2220146	DIFF;76.8512485;77.5920295
FC Ufa	Ufa	RUS	Russian Federation	FAILED	Ufa	RU	54.749613541000485;54.78516878200048;54.7387621	56.045616070000506;DIFF;55.98563915000051;55.9720554
Inverness Caledonian Thistle FC	Inverness	SCO	Scotland	FAILED	Inverness	GB	56.49067119999999;57.49564726000051;DIFF;57.48100556000048;57.477773	-4.216456401999551;-4.225307116999602;-4.224721;-4.2026458
Wolverhampton Wanderers FC	Wolves	ENG	United Kingdom	FAILED		GB	53.395867566000504;DIFF;51.38361099999999;52.591838414000506;None	-3.144167;-2.5946878149995882;DIFF;None;-2.130059044999598
