club_name	club_country_code	11_12	12_13	13_14	14_15	15_16	pts
WKS Śląsk Wrocław	POL	2.825	2.000	2.125	0.950	0.950	0.950
AEK Larnaca FC	CYP	5.825	0.800	0.550	0.660	0.660	0.660
FC Oţelul Galaţi	ROU	4.866	1.360	1.375	1.025	1.025	1.025
R. Charleroi SC	BEL	2.020	1.300	1.280	1.920	1.920	1.920
KVC Westerlo	BEL	3.020	1.300	1.280	1.920	1.920	1.920
FC Arsenal Kyiv	UKR	1.550	1.900	1.566	2.000	2.000	2.000
AIK Solna	SWE	0.580	4.025	0.640	1.780	1.780	1.780
AEL Limassol FC	CYP	1.825	3.800	0.550	2.160	2.160	2.160
ŠK Slovan Bratislava	SVK	2.475	0.800	1.325	2.550	2.550	2.550
FC Luzern	SUI	1.200	3.175	1.440	1.880	1.880	1.880
Videoton FC	HUN	1.450	4.600	0.425	0.425	0.425	0.425
PEC Zwolle	NED	2.720	0.842	1.183	2.716	2.716	2.716
sc Heerenveen	NED	2.720	2.342	1.183	1.216	1.216	1.216
SK Sturm Graz	AUT	3.425	0.450	2.060	0.825	0.825	0.825
Helsingborgs IF	SWE	2.080	4.025	0.640	0.780	0.780	0.780
Kardemir Karabükspor	TUR	1.020	2.040	1.340	2.700	2.700	2.700
Tromsø IL	NOR	0.960	2.480	2.520	0.940	0.940	0.940
ADO Den Haag	NED	3.720	0.842	1.183	1.216	1.216	1.216
FC Petrolul Ploieşti	ROU	0.866	1.360	2.875	2.525	2.525	2.525
FC Dinamo Bucureşti	ROU	2.366	2.860	1.375	1.025	1.025	1.025
FC Rapid Bucureşti	ROU	2.866	2.360	1.375	1.025	1.025	1.025
FC Aktobe	KAZ	1.325	1.275	2.125	2.175	2.175	2.175
AEK Athens FC	GRE	3.520	0.880	1.220	1.240	1.240	1.240
FK Vojvodina	SRB	0.925	1.600	2.000	1.050	1.050	1.050
İstanbul Başakşehir	TUR	1.020	2.040	1.340	1.200	1.200	1.200
Eskişehirspor	TUR	1.020	3.040	1.340	1.200	1.200	1.200
Gaziantepspor	TUR	2.020	2.040	1.340	1.200	1.200	1.200
Strømsgodset IF	NOR	1.460	0.980	1.520	1.440	1.440	1.440
KF Skënderbeu	ALB	1.175	1.150	1.900	1.175	1.175	1.175
Servette FC	SUI	1.200	2.675	1.440	1.380	1.380	1.380
Hapoel Kiryat Shmona FC	ISR	1.200	2.650	1.150	1.275	1.275	1.275
FC Utrecht	NED	2.720	0.842	1.683	1.216	1.216	1.216
SV Ried	AUT	2.925	1.450	1.560	0.825	0.825	0.825
FC Shakhtyor Soligorsk	BLR	1.125	1.400	0.850	2.600	2.600	2.600
FC Spartak Trnava	SVK	1.975	1.300	0.325	2.050	2.050	2.050
Go Ahead Eagles	NED	2.720	0.842	1.183	1.216	1.216	1.216
FC Shakhter Karagandy	KAZ	0.825	1.275	2.625	1.675	1.675	1.675
RNK Split	CRO	1.750	0.875	0.875	2.875	2.875	2.875
Brøndby IF	DEN	1.620	0.660	0.760	1.580	1.580	1.580
FK Crvena zvezda	SRB	1.925	2.100	1.500	0.550	0.550	0.550
CS Pandurii Târgu Jiu	ROU	0.866	1.360	3.375	1.025	1.025	1.025
Ruch Chorzów	POL	1.325	1.500	0.625	2.450	2.450	2.450
Xanthi FC	GRE	1.520	0.880	2.220	1.240	1.240	1.240
Olympiacos Volou FC	GRE	2.520	0.880	1.220	1.240	1.240	1.240
Anorthosis Famagusta FC	CYP	2.825	1.800	1.050	0.660	0.660	0.660
Odense BK	DEN	3.620	0.660	0.760	0.580	0.580	0.580
CS Gaz Metan Mediaş	ROU	2.366	1.360	1.375	1.025	1.025	1.025
SCR Altach	AUT	1.425	0.450	1.560	0.825	0.825	0.825
FC Pasching	AUT	1.425	0.450	3.060	0.825	0.825	0.825
IFK Göteborg	SWE	0.580	1.025	1.140	1.780	1.780	1.780
Debreceni VSC	HUN	0.450	2.100	0.675	1.925	1.925	1.925
Motherwell FC	SCO	0.550	2.360	1.650	1.300	1.300	1.300
Heart of Midlothian FC	SCO	2.050	2.360	0.650	0.800	0.800	0.800
FK Sarajevo	BIH	1.225	1.250	0.800	1.850	1.850	1.850
MŠK Žilina	SVK	0.975	1.300	1.325	0.550	0.550	0.550
Aalesunds FK	NOR	1.960	1.980	0.520	0.440	0.440	0.440
Saint Johnstone FC	SCO	0.550	1.360	1.650	1.800	1.800	1.800
ASA 2013 Târgu Mureş	ROU	0.866	1.360	1.375	1.025	1.025	1.025
FK Ventspils	LVA	1.125	1.250	1.325	1.050	1.050	1.050
Wolfsberger AC	AUT	1.425	0.450	1.560	0.825	0.825	0.825
SKN St Pölten	AUT	1.425	0.450	1.560	1.825	1.825	1.825
SV Grödig	AUT	1.425	0.450	1.560	1.825	1.825	1.825
FC Admira Wacker Mödling	AUT	1.425	1.450	1.560	0.825	0.825	0.825
FC Minsk	BLR	1.125	0.900	1.850	1.100	1.100	1.100
FC Gomel	BLR	1.625	1.900	0.350	1.100	1.100	1.100
BK Häcken	SWE	1.580	1.025	1.640	0.780	0.780	0.780
FK Željezničar	BIH	1.225	1.250	1.300	0.850	0.850	0.850
FC Dinamo Tbilisi	GEO	2.075	0.300	1.875	1.250	1.250	1.250
NK Lokomotiva Zagreb	CRO	0.750	0.875	1.375	1.375	1.375	1.375
NK Slaven Koprivnica	CRO	0.750	1.875	0.875	1.375	1.375	1.375
NK Varaždin	CRO	1.750	0.875	0.875	1.375	1.375	1.375
FH Hafnarfjördur	ISL	0.775	0.750	2.000	1.500	1.500	1.500
KR Reykjavík	ISL	1.275	1.250	1.000	1.500	1.500	1.500
Bnei Yehuda Tel-Aviv FC	ISR	2.200	1.650	1.150	0.275	0.275	0.275
FC Dila Gori	GEO	0.575	1.800	1.875	0.250	0.250	0.250
FC Botoşani	ROU	0.866	1.360	1.375	1.025	1.025	1.025
İnter Bakı PİK	AZE	0.275	1.100	1.000	1.225	1.225	1.225
Aberdeen FC	SCO	0.550	0.860	0.650	1.800	1.800	1.800
Ermis Aradippou FC	CYP	1.825	0.800	0.550	1.660	1.660	1.660
FK AS Trenčín	SVK	0.475	0.300	1.325	1.550	1.550	1.550
Odds BK	NOR	0.460	0.980	0.520	0.440	0.440	0.440
NK Osijek	CRO	0.750	1.375	0.875	1.375	1.375	1.375
Jagiellonia Białystok	POL	1.575	0.500	0.625	0.950	0.950	0.950
Qäbälä FK	AZE	0.275	0.600	0.500	0.975	0.975	0.975
Randers FC	DEN	0.620	0.660	1.760	0.580	0.580	0.580
AC Horsens	DEN	0.620	2.160	0.760	0.580	0.580	0.580
FK Rabotnicki	MKD	1.825	0.250	0.100	1.225	1.225	1.225
The New Saints FC	WAL	0.625	1.100	1.150	1.025	1.025	1.025
FK Ekranas	LTU	1.700	1.725	1.250	0.350	0.350	0.350
PFC CSKA Sofia	BUL	1.800	0.650	1.125	1.350	1.350	1.350
ND Mura 05	SVN	0.450	3.150	0.525	0.800	0.800	0.800
FC Milsami Orhei	MDA	0.350	0.950	1.675	0.350	0.350	0.350
F91 Dudelange	LUX	1.225	1.775	0.550	1.100	1.100	1.100
Zawisza Bydgoszcz	POL	1.325	0.500	0.625	1.450	1.450	1.450
GKS Piast Gliwice	POL	1.325	0.500	1.125	0.950	0.950	0.950
IF Brommapojkarna	SWE	0.580	1.025	0.640	1.780	1.780	1.780
Gefle IF	SWE	0.580	1.025	1.640	0.780	0.780	0.780
Kalmar FF	SWE	0.580	2.025	0.640	0.780	0.780	0.780
Dundee United FC	SCO	1.050	1.860	0.650	0.800	0.800	0.800
Rangers FC	SCO	2.050	0.860	0.650	0.800	0.800	0.800
FK Žalgiris Vilnius	LTU	0.200	0.725	1.750	1.100	1.100	1.100
PFC Litex Lovech	BUL	1.800	0.150	1.125	1.350	1.350	1.350
FC Vaduz	LIE	1.400	0.000	0.450	1.000	1.000	1.000
Vålerenga Fotball	NOR	1.460	0.980	0.520	0.440	0.440	0.440
FC Kairat Almaty	KAZ	0.325	0.275	0.625	1.175	1.175	1.175
FC Differdange 03	LUX	1.725	0.775	1.300	0.350	0.350	0.350
Hapoel Beer Sheva FC	ISR	1.200	0.650	1.150	0.775	0.775	0.775
Hapoel Ramat Gan FC	ISR	1.200	0.650	2.150	0.275	0.275	0.275
FC Zestafoni	GEO	2.075	1.300	0.375	0.750	0.750	0.750
NK Olimpija Ljubljana	SVN	1.450	1.150	1.025	0.800	0.800	0.800
Shamrock Rovers FC	IRL	2.300	1.200	0.050	0.400	0.400	0.400
Saint Patrick's Athletic FC	IRL	1.300	1.200	0.300	1.400	1.400	1.400
FC Neman Grodno	BLR	0.625	0.900	0.350	1.600	1.600	1.600
FC Naftan Novopolotsk	BLR	0.625	1.400	0.350	1.100	1.100	1.100
Xäzär Länkäran FK	AZE	0.775	1.100	1.000	0.725	0.725	0.725
Örebro SK	SWE	1.080	1.025	0.640	0.780	0.780	0.780
Valletta FC	MLT	1.166	1.175	0.675	1.025	1.025	1.025
Linfield FC	NIR	1.100	1.200	0.675	0.775	0.775	0.775
FK Senica	SVK	1.475	0.800	0.825	0.550	0.550	0.550
PFC Levski Sofia	BUL	1.300	0.650	1.375	0.850	0.850	0.850
FK Haugesund	NOR	0.460	0.980	0.520	0.940	0.940	0.940
Hødd	NOR	0.460	0.980	1.020	0.440	0.440	0.440
FC Dacia Chisinau	MDA	1.100	0.950	1.175	0.350	0.350	0.350
FC Torpedo Zhodino	BLR	0.625	0.900	0.350	1.100	1.100	1.100
Stjarnan	ISL	0.275	0.250	0.500	2.000	2.000	2.000
Beitar Jerusalem FC	ISR	1.200	0.650	1.150	0.275	0.275	0.275
Maccabi Netanya FC	ISR	1.200	1.150	1.150	0.275	0.275	0.275
AGF Aarhus	DEN	0.620	1.160	0.760	0.580	0.580	0.580
