club_name	club_country_code	11_12	12_13	13_14	14_15	15_16	pts
FC Daugava Rīga	LVA	0.125	0.250	0.325	0.300	0.300	0.300
SP La Fiorita	SMR	0.000	0.250	0.316	0.500	0.500	0.500
SP Tre Penne	SMR	0.250	0.500	0.566	0.000	0.000	0.000
FC Progrès Niederkorn	LUX	0.225	0.275	0.300	0.100	0.100	0.100
CS Grevenmacher	LUX	0.225	0.525	0.300	0.100	0.100	0.100
UN Käerjéng 97	LUX	0.475	0.275	0.300	0.100	0.100	0.100
FK Lovćen	MNE	0.100	0.275	0.250	0.400	0.400	0.400
Sliema Wanderers FC	MLT	0.166	0.175	0.425	0.275	0.275	0.275
Newtown AFC	WAL	0.125	0.100	0.150	0.025	0.025	0.025
Bala Town FC	WAL	0.125	0.100	0.400	0.025	0.025	0.025
Prestatyn Town FC	WAL	0.125	0.100	0.650	0.025	0.025	0.025
UE Sant Julià	AND	0.500	0.000	0.066	0.350	0.350	0.350
UE Santa Coloma	AND	0.250	0.250	0.316	0.350	0.350	0.350
FC Šiauliai	LTU	0.200	0.475	0.250	0.100	0.100	0.100
FC Santos Tartu	EST	0.075	0.075	0.200	0.550	0.550	0.550
Balzan FC	MLT	0.166	0.175	0.175	0.025	0.025	0.025
Aberystwyth Town FC	WAL	0.125	0.100	0.150	0.275	0.275	0.275
Cefn Druids AFC	WAL	0.125	0.350	0.150	0.025	0.025	0.025
Neath FC	WAL	0.375	0.100	0.150	0.025	0.025	0.025
SS Folgore	SMR	0.000	0.000	0.066	0.250	0.250	0.250
AC Juvenes/Dogana	SMR	0.500	0.000	0.066	0.000	0.000	0.000
AC Libertas	SMR	0.000	0.250	0.316	0.250	0.250	0.250
Europa FC	GIB	0.000	0.000	0.000	0.300	0.300	0.300
SP Tre Fiori	SMR	0.500	0.000	0.066	0.000	0.000	0.000
